"TRANSECT","01/01/1855 12:00:01 AM","01/01/1867 12:00:01 AM","08/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","11/24/1933 12:00:01 AM","05/12/1951 12:00:01 AM","04/18/1974 12:00:01 AM","12/29/2002 12:00:01 AM","11/25/2003 12:00:01 AM","03/01/2006 12:00:01 AM"
181,-40.4898100066486,-52.8110568626696,-5.2105639148446,NA,-29.4841902648134,-37.7986262771323,-32.1217039944785,-52.8513692731142,NA,NA
182,-61.4362385881355,-66.5844653530457,-5.2734489921331,NA,-38.7739725094644,-50.9790045677844,-25.8803346786511,-34.316491235222,NA,NA
183,-56.510927320539,-59.0225432078963,-5.2948952892975,NA,-43.6633008448767,-40.381655019143,-27.8717069729456,-30.3353913781346,NA,NA
184,-33.7531948135589,-43.6896635006251,-5.0705883803229,NA,-51.9863264191415,-48.3695291691822,-27.2061092479277,-36.597275544445,NA,NA
185,-22.0289950650392,-32.9444963311595,-5.7008340264504,NA,-37.9568414710079,-44.8327941675822,-32.6572436205825,-36.1853805226975,NA,NA
186,-15.361984209984,-22.1859829740671,-5.0682356302405,NA,-33.528273374798,-33.4839170196273,-26.8630842516012,-28.6634991372059,NA,NA
187,-15.0919514163704,-19.7288715628859,-5.006658847223,NA,-40.8559715463594,-31.5892653732056,-27.1172974746754,-24.0425535090099,NA,NA
188,-28.3528760396826,-25.9690494180715,-5.03354231034,NA,-45.4249545747271,-40.9638496566143,-36.5131691689165,-48.7567546729814,NA,NA
189,-31.6293040072247,-26.1046627711693,-5.057129530195,NA,-48.0173411337898,-47.338108081795,-39.2656483348983,-47.8018414619123,NA,NA
190,-29.7434740542289,-15.7321935303856,-5.0260236215945,NA,-35.5264739303248,-37.3463409428295,-20.3790108479905,-33.0047579513725,NA,NA
191,-37.1318971422039,-27.37926378967,-5.0905280622105,NA,-39.5130532466693,-39.240770421405,-22.4488544892156,-40.7582834759819,NA,NA
